id,title,tags,creation_date,answer_count,score,view_count,accepted_answer_id
62485819,how to change plotting time series axes to show time instead of date,python|matplotlib,2020-06-20 12:28:33.093 UTC,1,1,256,62487924
62486360,Firestore: Get documents by field in their subcollection,android|firebase|google-cloud-firestore,2020-06-20 13:21:03.307 UTC,1,0,256,62486811
62487201,How to use a layer with gradient but without weight adjustment?,optimization|pytorch|backpropagation,2020-06-20 14:36:40.323 UTC,1,3,256,62493013
62499778,Android datepicker two-way databinding,android|android-datepicker,2020-06-21 14:16:03.313 UTC,1,0,256,
62499911,How to use Room in android project,java|android|android-room,2020-06-21 14:28:03.01 UTC,3,1,256,
62509741,How to navigate to the previous route on paper-button click?,polymer|lit-element|lit-html,2020-06-22 07:51:34.487 UTC,1,1,256,68887353
62511439,Design Bootstrap dynamic nav tabs component,reactjs|user-interface|bootstrap-4|reactstrap,2020-06-22 09:36:19.933 UTC,2,0,256,
62518277,Make Jackson mapper serialize LocalDateTime JSON as Timestamp JSON,java|spring-boot|jackson|timestamp|timezone,2020-06-22 15:42:37.74 UTC,1,0,256,62518446
62522534,Match substring with alphanumeric characters (ignoring other substrings) in postgres 11,regex|postgresql,2020-06-22 19:58:43.803 UTC,2,2,256,62522644
62524446,How to list PDF page sizes in the command line,c#|ghostscript,2020-06-22 22:24:10.167 UTC,1,0,256,62539093
62542694,How Deploy Drupal 7 using Kubernetes with a persistent store?,kubernetes|drupal|drupal-7,2020-06-23 19:52:07.3 UTC,1,0,256,
62549286,Validate and Change value from list of object using Lambda java 8,java|collections|java-8|java-stream,2020-06-24 06:49:21.813 UTC,2,0,256,
62555563,React-select: how to make creatable option optional?,reactjs|react-select,2020-06-24 12:55:34.323 UTC,1,1,256,62555758
62566846,AWS CLI cloudformation validate-template success but getting error during create-stack,amazon-web-services|amazon-cloudformation,2020-06-25 02:15:09.783 UTC,2,0,256,62566902
62592892,StreamBuilder returns nothing in the snapshot,firebase|flutter|dart|google-cloud-firestore,2020-06-26 10:34:05.493 UTC,1,0,256,
62599643,How to import Foundation breakpoint util into Vue-CLI project?,vue.js|webpack|zurb-foundation|vue-cli,2020-06-26 17:09:26.827 UTC,1,0,256,62674364
62617934,"skip error Error in open.connection(x, ""rb"") : HTTP error 404",r|web-scraping|http-status-code-404|handleerror,2020-06-28 03:37:48.353 UTC,1,0,256,62621150
62623166,Azure ML Error: TimeSeriesImputer object has no attribute '_known_df',time-series|azure-machine-learning-studio|forecast|azure-machine-learning-service,2020-06-28 13:28:01.953 UTC,1,1,256,62664173
